court_name,court_judge_count
Ventspils tiesa,8
Valmieras rajona tiesa,6
Valkas rajona tiesa,2
Tukuma rajona tiesa,6
Talsu rajona tiesa,4
Saldus rajona tiesa,4
Rīgas rajona tiesa Jūrmalas tiesu nams,9
Rīgas rajona tiesa,15
Rīgas pilsētas Ziemeļu rajona tiesa,13
Rīgas pilsētas Zemgales priekšpilsētas tiesa,14
Rīgas pilsētas Vidzemes priekšpilsētas tiesa,31
Rīgas pilsētas Pārdaugavas tiesa,26
Rīgas pilsētas Latgales priekšpilsētas tiesa,28
Rīgas pilsētas Kurzemes rajona tiesa,14
Rēzeknes tiesa,15
Ogres rajona tiesa,6
Madonas rajona tiesa,5
Limbažu rajona tiesa,4
Liepājas tiesa,15
Kurzemes rajona tiesa,36
Kuldīgas rajona tiesa,4
Jelgavas tiesa,15
Jēkabpils rajona tiesa,6
Gulbenes rajona tiesa,4
Dobeles rajona tiesa,5
Daugavpils tiesa,20
Cēsu rajona tiesa,6
Bauskas rajona tiesa,6
Alūksnes rajona tiesa,3
Aizkraukles rajona tiesa,5
